edition_id_effective,unit_id,deep_id_effective,classification,n_chars,n_lines,missing_gaps,dropped_note,role_proposed,selection_rule,reason,status,line_sequence_match_ratio,comparison_source,body_gap_events,body_unclear_count,quality_evidence
494,A03404,384,"Two issues, cancel title leaf",102423,2220,0,0,alternate_witness_same_edition,,"same edition 494 (Two issues, cancel title leaf); kept, excluded only from the edition-level view - never 'absent' or 'out of scope'","confirmed (Grace, 2026-09-07, on ChatGPT v8 quality evidence)",0.9002,"ChatGPT v7 review, corpus_audit/v7_review/same_edition_text_comparison.json (long s and whitespace normalised; ratio is not a semantic-difference or quality measure)",42,,"ChatGPT v8 review, corpus_audit/v8_review/witness_selection_quality_evidence.json (gap/unclear events in body of the source XML, with XPath/reason/extent; counts are events, not missing-character totals)"
494,A68191,383,"Two issues, cancel title leaf",102344,2219,0,0,representative_proposed,"Among complete transcriptions of the same edition, prefer the one with fewer recorded unreadable passages (gap/unclear events in body): representative 8 vs alternate 42. Lowest DEEP record id is only the reproducible tie-break when quality is indistinguishable. Alternate XML, variants and issue/state information are preserved; witnesses are never blended.",representative for the edition-level view; alternate kept as same-edition witness,"confirmed (Grace, 2026-09-07, on ChatGPT v8 quality evidence)",0.9002,"ChatGPT v7 review, corpus_audit/v7_review/same_edition_text_comparison.json (long s and whitespace normalised; ratio is not a semantic-difference or quality measure)",8,0,"ChatGPT v8 review, corpus_audit/v8_review/witness_selection_quality_evidence.json (gap/unclear events in body of the source XML, with XPath/reason/extent; counts are events, not missing-character totals)"
1042,A17342,860,"Two issues, title-page press variant",9158,244,0,1,representative_proposed,"Among complete transcriptions of the same edition, prefer the one with fewer recorded unreadable passages (gap/unclear events in body): representative 0 vs alternate 2. Lowest DEEP record id is only the reproducible tie-break when quality is indistinguishable. Alternate XML, variants and issue/state information are preserved; witnesses are never blended.",representative for the edition-level view; alternate kept as same-edition witness,"confirmed (Grace, 2026-09-07, on ChatGPT v8 quality evidence)",0.9448,"ChatGPT v7 review, corpus_audit/v7_review/same_edition_text_comparison.json (long s and whitespace normalised; ratio is not a semantic-difference or quality measure)",0,0,"ChatGPT v8 review, corpus_audit/v8_review/witness_selection_quality_evidence.json (gap/unclear events in body of the source XML, with XPath/reason/extent; counts are events, not missing-character totals)"
1042,A17344,861,"Two issues, title-page press variant",9191,245,0,2,alternate_witness_same_edition,,"same edition 1042 (Two issues, title-page press variant); kept, excluded only from the edition-level view - never 'absent' or 'out of scope'","confirmed (Grace, 2026-09-07, on ChatGPT v8 quality evidence)",0.9448,"ChatGPT v7 review, corpus_audit/v7_review/same_edition_text_comparison.json (long s and whitespace normalised; ratio is not a semantic-difference or quality measure)",2,,"ChatGPT v8 review, corpus_audit/v8_review/witness_selection_quality_evidence.json (gap/unclear events in body of the source XML, with XPath/reason/extent; counts are events, not missing-character totals)"
958,A18424,770,"Two states of the 1631 first issue, title-page press variants",89362,2239,0,0,alternate_witness_same_edition,,"same edition 958 (Two states of the 1631 first issue, title-page press variants); kept, excluded only from the edition-level view - never 'absent' or 'out of scope'","confirmed (Grace, 2026-09-07, on ChatGPT v8 quality evidence)",0.8718,"ChatGPT v7 review, corpus_audit/v7_review/same_edition_text_comparison.json (long s and whitespace normalised; ratio is not a semantic-difference or quality measure)",137,2,"ChatGPT v8 review, corpus_audit/v8_review/witness_selection_quality_evidence.json (gap/unclear events in body of the source XML, with XPath/reason/extent; counts are events, not missing-character totals)"
958,A18425,769,"Two states of the 1631 first issue, title-page press variants",89426,2239,0,0,representative_proposed,"Among complete transcriptions of the same edition, prefer the one with fewer recorded unreadable passages (gap/unclear events in body): representative 39 vs alternate 137. Lowest DEEP record id is only the reproducible tie-break when quality is indistinguishable. Alternate XML, variants and issue/state information are preserved; witnesses are never blended.",representative for the edition-level view; alternate kept as same-edition witness,"confirmed (Grace, 2026-09-07, on ChatGPT v8 quality evidence)",0.8718,"ChatGPT v7 review, corpus_audit/v7_review/same_edition_text_comparison.json (long s and whitespace normalised; ratio is not a semantic-difference or quality measure)",39,0,"ChatGPT v8 review, corpus_audit/v8_review/witness_selection_quality_evidence.json (gap/unclear events in body of the source XML, with XPath/reason/extent; counts are events, not missing-character totals)"
971,A72473.1.1,5124.001,1631 sheets (A04633 volume) reissued in the 1640 folio vol. 2 (A72473) - same edition per DEEP,,,,,representative_proposed,Grace's witness rule (2026-09-07): among complete transcriptions of the same edition prefer the one with fewer recorded unreadable passages: A72473.1.1 24 illegible/foreign gap events vs A04633.1 58; lowest DEEP id only as tie-break,"Bartholomew Fair: same edition 971; alternate kept, excluded only from the edition-level view",confirmed by established rule (Claude applied Grace's 2026-09-07 witness rule; listed in the final report for her check),,"Claude 2026-09-07: gap/unclear events counted in the source XML body of each unit (reason=illegible/foreign; 'duplicate' gaps mark duplicated page scans, not lost text) and line-sequence match ratios (long s/whitespace normalised): BF 0.833 (A72473.1.1 lacks the Induction opening in its body - it sits in the front matter as a 'part' frame, included by frames_decisions.csv), Staple 0.932, Devil 0.876",24,0,"Claude 2026-09-07: gap/unclear events counted in the source XML body of each unit (reason=illegible/foreign; 'duplicate' gaps mark duplicated page scans, not lost text) and line-sequence match ratios (long s/whitespace normalised): BF 0.833 (A72473.1.1 lacks the Induction opening in its body - it sits in the front matter as a 'part' frame, included by frames_decisions.csv), Staple 0.932, Devil 0.876"
971,A04633.1,5097.01,1631 sheets (A04633 volume) reissued in the 1640 folio vol. 2 (A72473) - same edition per DEEP,,,,,alternate_witness_same_edition,,"Bartholomew Fair: same edition 971; alternate kept, excluded only from the edition-level view",confirmed by established rule (Claude applied Grace's 2026-09-07 witness rule; listed in the final report for her check),,"Claude 2026-09-07: gap/unclear events counted in the source XML body of each unit (reason=illegible/foreign; 'duplicate' gaps mark duplicated page scans, not lost text) and line-sequence match ratios (long s/whitespace normalised): BF 0.833 (A72473.1.1 lacks the Induction opening in its body - it sits in the front matter as a 'part' frame, included by frames_decisions.csv), Staple 0.932, Devil 0.876",58,0,"Claude 2026-09-07: gap/unclear events counted in the source XML body of each unit (reason=illegible/foreign; 'duplicate' gaps mark duplicated page scans, not lost text) and line-sequence match ratios (long s/whitespace normalised): BF 0.833 (A72473.1.1 lacks the Induction opening in its body - it sits in the front matter as a 'part' frame, included by frames_decisions.csv), Staple 0.932, Devil 0.876"
972,A72473.1.2,5124.004,1631 sheets (A04633 volume) reissued in the 1640 folio vol. 2 (A72473) - same edition per DEEP,,,,,representative_proposed,Grace's witness rule (2026-09-07): among complete transcriptions of the same edition prefer the one with fewer recorded unreadable passages: A72473.1.2 32 illegible/foreign gap events vs A04633.3 82; lowest DEEP id only as tie-break,"The Staple of News: same edition 972; alternate kept, excluded only from the edition-level view",confirmed by established rule (Claude applied Grace's 2026-09-07 witness rule; listed in the final report for her check),,"Claude 2026-09-07: gap/unclear events counted in the source XML body of each unit (reason=illegible/foreign; 'duplicate' gaps mark duplicated page scans, not lost text) and line-sequence match ratios (long s/whitespace normalised): BF 0.833 (A72473.1.1 lacks the Induction opening in its body - it sits in the front matter as a 'part' frame, included by frames_decisions.csv), Staple 0.932, Devil 0.876",32,0,"Claude 2026-09-07: gap/unclear events counted in the source XML body of each unit (reason=illegible/foreign; 'duplicate' gaps mark duplicated page scans, not lost text) and line-sequence match ratios (long s/whitespace normalised): BF 0.833 (A72473.1.1 lacks the Induction opening in its body - it sits in the front matter as a 'part' frame, included by frames_decisions.csv), Staple 0.932, Devil 0.876"
972,A04633.3,5097.04,1631 sheets (A04633 volume) reissued in the 1640 folio vol. 2 (A72473) - same edition per DEEP,,,,,alternate_witness_same_edition,,"The Staple of News: same edition 972; alternate kept, excluded only from the edition-level view",confirmed by established rule (Claude applied Grace's 2026-09-07 witness rule; listed in the final report for her check),,"Claude 2026-09-07: gap/unclear events counted in the source XML body of each unit (reason=illegible/foreign; 'duplicate' gaps mark duplicated page scans, not lost text) and line-sequence match ratios (long s/whitespace normalised): BF 0.833 (A72473.1.1 lacks the Induction opening in its body - it sits in the front matter as a 'part' frame, included by frames_decisions.csv), Staple 0.932, Devil 0.876",82,0,"Claude 2026-09-07: gap/unclear events counted in the source XML body of each unit (reason=illegible/foreign; 'duplicate' gaps mark duplicated page scans, not lost text) and line-sequence match ratios (long s/whitespace normalised): BF 0.833 (A72473.1.1 lacks the Induction opening in its body - it sits in the front matter as a 'part' frame, included by frames_decisions.csv), Staple 0.932, Devil 0.876"
