topic,draft_label,pattern_basis,use_in_genre_analysis,basis,review_status,chunks_read,Label,Notes
0,"Court life: dukes, favour and honour",thematic_discourse,candidate,"581 chunks, 95 works, no work above 5 %. Life around a duke's or prince's court: favour, service, honour and dishonour, marriage plotted from above; Italianate court register shared by Shirley, Ford, Middleton, Chapman. Largest cluster — a setting more than one subject; fine for cross-work comparison, but read it against T14 (royal courts) and T16 (gallantry).",draft_ai,1128_00022;594_00003;1001_00000;1027_00033;647_00006;595_00000;577_00013,,
1,"Death, grief and revenge",thematic_discourse,candidate,"538 chunks, 193 works, no work above 3 %. Laments, vows of vengeance, murder confessed or plotted, blood and the soul's fate; common nouns only (death, life, blood, revenge, soul). The broadest theme in the model; well suited to cross-work comparison.",draft_ai,1030_00013;420_00005;686_00039;165_00007;892_00050;699_00038;85_00005,,
2,"Roman politics: senate, consuls and civil war",thematic_discourse+shared_narrative,candidate,"334 chunks, 43 works (22 with 3+), Catiline 15 %, top three 35 %. Roman public life — senate, consuls, conspiracies, triumphs, civil war — from Jonson, Shakespeare, Lodge, Herbert, Alexander. Held by a shared subject (Rome), not one story; the Roman names in the keywords come from the original text, the embedding never saw them. Comparable across works.",draft_ai,690_00002;882_00009;512_00023;235_00032;740_00019;890_00008;187_00021,,
3,"Sickness, physic and doctors",thematic_discourse,candidate,"253 chunks, 97 works, Family of Love 8 %. Physicians, cures, disease, quack empirics, the sick mistress; often bawdy (the doctor in the bed). 36 works with 3+ chunks; suitable for cross-work comparison.",draft_ai,616_00026;701_00004;1172_00012;1120_00013;914_00024;798_00034;651_00016,,
4,Love-longing and the lover's complaint,thematic_discourse,candidate,"257 chunks, 110 works, no work above 5 %. Lovers pleading, praising eyes and beauty, complaining of scorn; pastoral lovers (Guarini, Tasso, Fraunce, Phineas Fletcher) prominent but Shakespeare, Day and Barnes are there too. Broad cross-work theme.",draft_ai,416_00026;957_00013;165_00029;595_00016;385_00011;630_00014;910_00003,,
5,"Sin, repentance and God's mercy",thematic_discourse,candidate,"213 chunks, 47 works, Conflict of Conscience 14 %. Christian doctrine and devotion: God, Christ, sin, faith, mercy, scripture and the Old Testament (David, Israel); anti-papal satire (Bale) and pardoners (Heywood) alongside. Mostly interludes and biblical plays — the topic→genre direction is expected; still a real cross-work theme.",draft_ai,131_00009;40_00010;361_00012;37_00002;33_00001;216_00032;33_00002,,
6,"Money, debt and arrest",thematic_discourse,candidate,"187 chunks, 76 works, no work above 9 %. Debts, bonds, arrests at a creditor's suit, gold chains pawned or stolen, lawyers and fees; London city plays but also Comedy of Errors and Soliman and Perseda. Cross-work theme.",draft_ai,813_00041;1133_00035;628_00031;602_00020;188_00015;866_00015;973_00029,,
7,"The Trojan war: Troy, Greeks and Hector",shared_narrative,pending,"124 chunks, 33 works (8 with 3+), Troilus and Cressida 23 %, top three 54 %. One legend — the siege and fall of Troy, Aeneas — in Shakespeare, the Seneca translations, Marlowe's Dido and later imitators; keywords are names. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",draft_ai,658_00007;49_00013;76_00014;409_00015;720_00061;1008_00032;244_00023,,
8,"Captains, gallants and cheats",thematic_discourse,candidate,"134 chunks, 44 works (18 with 3+), Puritan 8 %. Braggart captains, gallants, rogues and their tricks: money owed, tavern bills, bawds, conjuring for hire; Middleton, Chapman, Dekker, Jonson, Mayne. Cross-work theme.",draft_ai,591_00031;695_00028;444_00018;1118_00032;422_00022;422_00019;1118_00012,,
9,"Theatre talk: prologues, poets and players",thematic_discourse,candidate,"132 chunks, 76 works, no work above 5 %. Plays about playing: prologues, inductions, epilogues, poets and their censurers, players and audiences (Jonson, Brome, Nashe, Rawlins, Glapthorne). Much of it is framing matter (prologue/epilogue) rather than plot; still comparable across works.",draft_ai,422_00002;1140_00037;1172_00002;396_00000;1135_00027;533_00004;1144_00000,,
10,"England and France: war, embassy and peace",shared_narrative+thematic_discourse,candidate,"116 chunks, 25 works (12 with 3+), Edward III 15 %, top three 37 %. Anglo-French war and diplomacy: levies, ambassadors, treaties, the Dauphin, Talbot; Edward III, 1 Henry VI, King John, Henry V, Heywood's Edward IV, also Sampson's Vow Breaker. Historical matter shared by many plays, not one story; mostly histories, so the topic→genre direction is expected.",draft_ai,271_00002;878_00028;876_00036;351_00003;1041_00030;371_00008;351_00002,,
11,"Siblings, kin and confidants",thematic_discourse,candidate,"142 chunks, 78 works, no work above 6 %. What unites the chunks is kinship address — sister, brother, father, friend — in confidences, letters and family news rather than one subject. Cross-work by the numbers; when reading, decide whether this counts as a theme or only a register of address.",draft_ai,732_00009;1111_00024;857_00022;964_00005;730_00009;1104_00000;993_00018,,
12,"The Olympian gods: Jupiter, Juno, Venus and Mars",thematic_discourse+recurring_role_or_name,candidate,"108 chunks, 44 works, Heywood's Golden Age 23 %, top three 38 %. The gods among themselves — Jupiter's rule, Juno's jealousy, Venus and Mars, Titans; Heywood's Ages, Peele, Jonson's Poetaster, pageants. The deities are shared mythological roles, not single-work names; T21 (Cupid, nymphs) is the love-side neighbour. Comparable, with the Golden Age share noted.",draft_ai,687_00008;139_00003;238_00016;975_00004;824_00000;422_00031;719_00031,,
13,"Knights, squires and ladies",thematic_discourse+recurring_role_or_name,candidate,"109 chunks, 55 works, Knight of the Burning Pestle 11 %. Knights and squires — chivalric burlesque, knights as suitors, 'Sir' and 'Knight' as forms of address; Beaumont, Jonson, Heywood, Barry, Sharpham. Role words rather than names hold it together (Raph/George are the KBP burlesque); cross-work theme.",draft_ai,724_00021;514_00033;365_00017;1071_00032;596_00015;683_00017;188_00004,,
14,"Royal courts: princes, princesses and succession",thematic_discourse,candidate,"117 chunks, 55 works, Philaster 9 %. Kings' courts: princes and princesses, succession, royal marriage and disguise; Beaumont and Fletcher, Heywood, Suckling, Shirley. The royal counterpart of T0 (ducal court); cross-work theme.",draft_ai,815_00003;503_00007;1120_00022;642_00025;1078_00010;808_00002;1125_00002,,
15,Friars and holy orders in the plot,thematic_discourse+recurring_role_or_name,candidate,"93 chunks, 26 works (11 with 3+), Measure for Measure 14 %, top three 38 %. Friars, priors and nuns as agents of the action: friars who marry lovers in secret, conjure, carry messages or plot murder; Shakespeare, Peele, Greene, Marlowe (Jew of Malta, Massacre), the Robin Hood plays, Davenport. The role holds it together, not one story; comparable across works.",draft_ai,864_00039;203_00028;232_00012;1110_00013;998_00020;411_00007;260_00017,,
16,"Gallantry: ladies, lordships and compliment",thematic_discourse,candidate,"108 chunks, 58 works, Lady of Pleasure 12 %. Fashionable courtship and compliment — 'your Ladyship', 'his Lordship', servants and honour, dancing lessons, the court as a place of manners; Shirley, Jonson, Chapman, Nabbes. Cross-work theme; close to T0 and T14 in setting but about manners rather than power.",draft_ai,1051_00007;1095_00017;413_00032;699_00004;1077_00002;1050_00013;701_00031,,
17,"Eastern conquest: Persians, Turks and soldans",thematic_discourse+shared_narrative,pending,"108 chunks, 20 works (8 with 3+), 1 Tamburlaine 22 %, top three 55 %. Conquest rhetoric of the East: Scythian, Persian and Turkish armies, Mahomet, soldans, Christians against Turks; Marlowe, Wars of Cyrus, Goffe's Turk plays, Alexander's Darius, Heywood's Four Prentices. A shared subject rather than one story, but three works hold over half — decide whether the concentration is acceptable.",draft_ai,156_00020;250_00017;1120_00010;961_00049;751_00027;446_00004;751_00021,,
18,"Rebels, barons and the king's wars at home",thematic_discourse+shared_narrative,candidate,"96 chunks, 25 works (9 with 3+), Valiant Scot 21 %, top three 45 %. Rebellion and civil war within Britain: rebels, traitors, barons against the king, Scotland and England, drums and standards; Valiant Scot, Heywood's Edward IV, Edward II, Gorboduc, Jack Straw, also Chapman's Bussy plays. Historical matter shared by many plays; neighbour of T10 (France) and T43 (York/Lancaster).",draft_ai,1053_00028;345_00007;245_00022;68_00023;579_00038;710_00020;207_00002,,
19,"Virtue, Fortune and Vice as abstractions",thematic_discourse,candidate,"97 chunks, 60 works, Old Fortunatus 12 %. Moralising on Virtue, Fortune's wheel, Fame, Envy, Pride and Vice — personified abstractions and sententiae; interludes and pageants, but also Henry V (Fluellen on Fortune), Poetaster, Satiromastix. Cross-work theme.",draft_ai,364_00044;1087_00034;433_00000;89_00014;371_00011;422_00038;444_00033,,
20,"Hercules: labours, Deianira and the pyre",shared_narrative,pending,"87 chunks, 18 works, Hercules Oetaeus 39 %, top three 75 %. One legend — Hercules' labours, madness and death — in the Seneca translations and Heywood's Brazen Age, with Hercules allusions elsewhere (Lingua). Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",draft_ai,134_00041;719_00008;59_00002;562_00042;79_00024;1076_00011;1040_00014,,
21,"Cupid, Venus and the nymphs",thematic_discourse+recurring_role_or_name,candidate,"102 chunks, 40 works (7 with 3+), Love's Metamorphosis 13 %, top three 36 %. Love under the gods: Cupid, Venus, Ceres, Diana, nymphs and swains; Lyly, Randolph, Tasso, Fraunce, Phineas Fletcher. Mythological roles shared across works; the boys'-company and pastoral concentration is content, not a single play. Comparable; only 7 works have 3+ chunks.",draft_ai,409_00019;1091_00036;179_00018;957_00018;910_00031;413_00000;165_00000,,
22,"Shepherds, flocks and Pan",thematic_discourse,candidate,"96 chunks, 31 works, Faithful Shepherdess 28 %, top three 44 %. The shepherd's world: flocks, swains, Pan, the shepherdess, woods; Fletcher, Mucedorus, As You Like It, Shirley, Heywood, entertainments. Cross-work, but one play holds over a quarter — note the share when a genre result rests on this topic.",draft_ai,675_00038;319_00018;868_00034;200_00000;954_00015;1063_00009;964_00006,,
23,"Husbands, wives and jealousy",thematic_discourse,candidate,"91 chunks, 52 works, no work above 8 %. Jealous husbands, suspected wives, cuckoldry feared or arranged, 'honest' as the wife's word; Sharpham, Chapman, Dekker, Nabbes, Brome, also Soliman and Perseda. Cross-work theme.",draft_ai,581_00009;518_00022;590_00017;1082_00031;188_00013;813_00029;1140_00035,,
24,"Apollo, the Muses and Midas",recurring_role_or_name+thematic_discourse,pending,"84 chunks, 31 works, Apollo Shroving 35 %, top three 54 %. Apollo/Phoebus as sun-god and patron of the Muses, Midas' ears, sirens: Lyly (Midas, Sappho and Phao), Maid's Metamorphosis, Heywood, Seneca's sunrise choruses share the subject with the school play Apollo Shroving. The one-play share is a flag to check (does a genre result change without it?), not a reason to exclude; read the non-Shroving chunks and decide.",draft_ai,907_00001;181_00027;370_00027;50_00016;135_00006;794_00020;719_00027,,
