source_sha256,unit_id,container_node_path,div_path_filter,decision_default,text_role_default,expected_candidate_nodes,basis,source,status,decided_on
1ed0f7958071baea07ae9dbb2477949320c2df18f006c4b521541e98b2a0482c,A07903,/*/*[2]/*[2],pageant_play,exclude,authorial_description,9,"Read all 134 body candidates and source transitions. The speech chain has 118 spoken prose/verse nodes plus FIVE authorial transition paragraphs (seq 11,12,31,100,102), which need node exclusions. The outer and conclusion chains contain 11 historical, descriptive and production-credit paragraphs. Descriptions within John Norman's actual speech (seq 101) remain speech; topic alone does not decide fate.","ChatGPT v11 content review (all body candidates read), container_audit_recommendations.json sha256 5039b2389404; applied on Grace's instruction 2026-09-07 together with the 9 node exceptions",applied,2026-09-07
1ed0f7958071baea07ae9dbb2477949320c2df18f006c4b521541e98b2a0482c,A07903,/*/*[2]/*[2],pageant_play>speech,include,speech,123,"Read all 134 body candidates and source transitions. The speech chain has 118 spoken prose/verse nodes plus FIVE authorial transition paragraphs (seq 11,12,31,100,102), which need node exclusions. The outer and conclusion chains contain 11 historical, descriptive and production-credit paragraphs. Descriptions within John Norman's actual speech (seq 101) remain speech; topic alone does not decide fate.","ChatGPT v11 content review (all body candidates read), container_audit_recommendations.json sha256 5039b2389404; applied on Grace's instruction 2026-09-07 together with the 9 node exceptions",applied,2026-09-07
02385d1d3ff780807bace14c666ca212822601fac9dad64cbf22a51b22bfd51d,A12813,/*/*[2]/*[2],celebratory_pageant>presentation,exclude,authorial_description,15,"Read all 157 body candidates and source introductions: Oceanus, Aeolus, Time, Peace and War deliver 142 verse nodes. The presentation chain contains 11 descriptive/credit paragraphs plus FOUR explicitly introduced song nodes. Apply the four node overrides from this review together with these container defaults.","ChatGPT v11 content review (all body candidates read), container_audit_recommendations.json sha256 5039b2389404; applied on Grace's instruction 2026-09-07 together with the 9 node exceptions",applied,2026-09-07
41b52f3926c465c4a2912833d2c96d760dd3ef897eea30b8ee713de8b7f40675,A03019,/*/*[2]/*[2],triumph,exclude,authorial_description,25,"Read all 44 body candidates and their source contexts. Corinea and Amphion have explicitly introduced direct addresses (six p nodes). The other two type chains contain authorial civic history, character/costume descriptions, movement and event narrative, not performed quotations.","ChatGPT v11 content review (all body candidates read), container_audit_recommendations.json sha256 5039b2389404; applied on Grace's instruction 2026-09-07 together with the 9 node exceptions",applied,2026-09-07
02385d1d3ff780807bace14c666ca212822601fac9dad64cbf22a51b22bfd51d,A12813,/*/*[2]/*[2],celebratory_pageant>presentation>speech,include,speech,142,"Read all 157 body candidates and source introductions: Oceanus, Aeolus, Time, Peace and War deliver 142 verse nodes. The presentation chain contains 11 descriptive/credit paragraphs plus FOUR explicitly introduced song nodes. Apply the four node overrides from this review together with these container defaults.","ChatGPT v11 content review (all body candidates read), container_audit_recommendations.json sha256 5039b2389404; applied on Grace's instruction 2026-09-07 together with the 9 node exceptions",applied,2026-09-07
41b52f3926c465c4a2912833d2c96d760dd3ef897eea30b8ee713de8b7f40675,A03019,/*/*[2]/*[2],triumph>part,exclude,authorial_description,13,"Read all 44 body candidates and their source contexts. Corinea and Amphion have explicitly introduced direct addresses (six p nodes). The other two type chains contain authorial civic history, character/costume descriptions, movement and event narrative, not performed quotations.","ChatGPT v11 content review (all body candidates read), container_audit_recommendations.json sha256 5039b2389404; applied on Grace's instruction 2026-09-07 together with the 9 node exceptions",applied,2026-09-07
41b52f3926c465c4a2912833d2c96d760dd3ef897eea30b8ee713de8b7f40675,A03019,/*/*[2]/*[2],triumph>part>speech,include,speech,6,"Read all 44 body candidates and their source contexts. Corinea and Amphion have explicitly introduced direct addresses (six p nodes). The other two type chains contain authorial civic history, character/costume descriptions, movement and event narrative, not performed quotations.","ChatGPT v11 content review (all body candidates read), container_audit_recommendations.json sha256 5039b2389404; applied on Grace's instruction 2026-09-07 together with the 9 node exceptions",applied,2026-09-07
1ed0f7958071baea07ae9dbb2477949320c2df18f006c4b521541e98b2a0482c,A07903,/*/*[2]/*[2],pageant_play>conclusion,exclude,authorial_description,2,"Read all 134 body candidates and source transitions. The speech chain has 118 spoken prose/verse nodes plus FIVE authorial transition paragraphs (seq 11,12,31,100,102), which need node exclusions. The outer and conclusion chains contain 11 historical, descriptive and production-credit paragraphs. Descriptions within John Norman's actual speech (seq 101) remain speech; topic alone does not decide fate.","ChatGPT v11 content review (all body candidates read), container_audit_recommendations.json sha256 5039b2389404; applied on Grace's instruction 2026-09-07 together with the 9 node exceptions",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.10,/*/*[2]/*[2]/*[10],tragedy>act,include,,894,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 49 chars/node, 894 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.7,/*/*[2]/*[2]/*[7],tragedy>act,include,,798,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 54 chars/node, 798 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
