genre_deep,n_works,n_editions,reason,annals,examples
civic play; pageant,26,26,compound or non-main genre label,civic pageant ×25; entertainment ×1,The Pageant before Woolstone Dixie (1585); The Pageant for John Allot (1590); Descensus Astraeae (The Descent of Astraea) (1591)
not in BritDrama,19,19,not in BritDrama (no genre),morality;interlude ×4; (none) ×3; civic pageant ×3,The Nature of the Four Elements (Natura Naturata) (1520); 1 Gentleness and Nobility (1525); 2 Gentleness and Nobility (1525)
entertainment; royal entertainment or entry,17,17,compound or non-main genre label,entertainment ×17,The Entertainment at Norwich (Royal Entry of Queen Elizabeth (1578); The Entertainment in Suffolk and Norfolk (Royal Entry of Que (1578); The Queen's Entertainment at Woodstock (1585)
entertainment; civic play,8,8,compound or non-main genre label,civic pageant ×8,The Entertainment at Bunhill on the Shooting Day (The Archer (1621); The Entertainment at Sir Francis Jones's Welcome (Comus the  (1621); The Entertainment at Sir Francis Jones's at Easter (The Four (1621)
classical legend or myth,4,4,compound or non-main genre label,dialogue ×2; classical legend ×2,"The Golden Age, or The Lives of Jupiter and Saturn (1611); The Brazen Age (The Age of Brass) (1613); Apollo and Daphne (1637)"
entertainment; academic entertainment,3,3,compound or non-main genre label,comedy;dialogue ×2; monologue ×1,"A Merry Dialogue between Band, Cuff, and Ruff (1615); Work for Cutlers (Sword, Rapier, and Dagger) (1615); The Conceited Pedlar (The University Pedlar) (1630)"
biblical play,3,3,compound or non-main genre label,mystery ×2; interlude;biblical play ×1,"The Chief Promises of God unto Man (God's Promises) (1547); The Temptation of Our Lord and Saviour, Jesus Christ, by Sat (1547); Jacob and Esau (1568)"
pastoral; masque,1,1,compound or non-main genre label,masque;morality ×1,Comus (The Masque at Ludlow Castle) (1637)
history; satire,1,1,compound or non-main genre label,history;pseudo-history ×1,Nobody and Somebody (1606)
entertainment; tournament,1,1,compound or non-main genre label,entertainment ×1,Prince Henry's Barriers  (The Lady of the Lake) (Merlin and  (1616)
tilt,1,1,compound or non-main genre label,entertainment;tilt ×1,The Entertainment of the French Ambassadors (The Fortress of (1581)
history; pseudo-history,1,1,compound or non-main genre label,history;pseudo-history ×1,"The Hector of Germany, or The Palsgrave, Prime Elector (1615)"
pageant; civic play; entertainment; royal entertainment or entry,1,1,compound or non-main genre label,entertainment ×1,The Magnificent Entertainment Given to King James (The Royal (1604)
entertainment,1,1,compound or non-main genre label,entertainment ×1,The Masque of Owls (1641)
entertainment; masque; royal entertainment or entry,1,1,compound or non-main genre label,entertainment ×1,The Royal Entertainment at Caversham (1613)
history; allegory,1,1,compound or non-main genre label,history;allegory ×1,The Whore of Babylon (1607)
satire; dialogue,1,1,compound or non-main genre label,comedy;dialogue ×1,Two Wise Men and All the Rest Fools (1619)
dialogue,1,1,compound or non-main genre label,entertainment ×1,"Wine, Beer, and Ale Together by the Ears (Wine, Beer, Ale, a (1629)"
