topic,draft_label,pattern_basis,use_in_genre_analysis,basis,review_status,chunks_read,Label,Notes
0,"Court life: dukes, favour and honour",thematic_discourse,included,"581 chunks, 95 works, no work above 5 %. Life around a duke's or prince's court: favour, service, honour and dishonour, marriage plotted from above; Italianate court register shared by Shirley, Ford, Middleton, Chapman. Largest cluster — a setting more than one subject; fine for cross-work comparison, but read it against T14 (royal courts) and T16 (gallantry).",user_confirmed,1128_00022;594_00003;1001_00000;1027_00033;647_00006;595_00000;577_00013,"Court life: dukes, favour and honour",
1,"Death, grief and revenge",thematic_discourse,included,"538 chunks, 193 works, no work above 3 %. Laments, vows of vengeance, murder confessed or plotted, blood and the soul's fate; common nouns only (death, life, blood, revenge, soul). The broadest theme in the model; well suited to cross-work comparison.",user_confirmed,1030_00013;420_00005;686_00039;165_00007;892_00050;699_00038;85_00005,"Death, grief and revenge",
2,"Roman politics: senate, consuls and civil war",thematic_discourse+shared_narrative,included,"334 chunks, 43 works (22 with 3+), Catiline 15 %, top three 35 %. Roman public life — senate, consuls, conspiracies, triumphs, civil war — from Jonson, Shakespeare, Lodge, Herbert, Alexander. Held by a shared subject (Rome), not one story; the Roman names in the keywords come from the original text, the embedding never saw them. Comparable across works.",user_confirmed,690_00002;882_00009;512_00023;235_00032;740_00019;890_00008;187_00021,"Roman politics: senate, consuls and civil war",
3,"Sickness, physic and doctors",thematic_discourse,included,"253 chunks, 97 works, Family of Love 8 %. Physicians, cures, disease, quack empirics, the sick mistress; often bawdy (the doctor in the bed). 36 works with 3+ chunks; suitable for cross-work comparison.",user_confirmed,616_00026;701_00004;1172_00012;1120_00013;914_00024;798_00034;651_00016,"Sickness, physic and doctors",
4,Love-longing and the lover's complaint,thematic_discourse,included,"257 chunks, 110 works, no work above 5 %. Lovers pleading, praising eyes and beauty, complaining of scorn; pastoral lovers (Guarini, Tasso, Fraunce, Phineas Fletcher) prominent but Shakespeare, Day and Barnes are there too. Broad cross-work theme.",user_confirmed,416_00026;957_00013;165_00029;595_00016;385_00011;630_00014;910_00003,Love-longing and the lover's complaint,
5,"Sin, repentance and God's mercy",thematic_discourse,included,"213 chunks, 47 works, Conflict of Conscience 14 %. Christian doctrine and devotion: God, Christ, sin, faith, mercy, scripture and the Old Testament (David, Israel); anti-papal satire (Bale) and pardoners (Heywood) alongside. Mostly interludes and biblical plays — the topic→genre direction is expected; still a real cross-work theme.",user_confirmed,131_00009;40_00010;361_00012;37_00002;33_00001;216_00032;33_00002,"Christian faith, sin and salvation","sample review supports Christian faith, sin and salvation, including disputes over law, church and scriptural authority. This broader label fits the sampled polemical passages better than repentance alone. Reviewed excerpts (three different works): 84_00035; 40_00026; 131_00019."
6,"Money, debt and arrest",thematic_discourse,included,"187 chunks, 76 works, no work above 9 %. Debts, bonds, arrests at a creditor's suit, gold chains pawned or stolen, lawyers and fees; London city plays but also Comedy of Errors and Soliman and Perseda. Cross-work theme.",user_confirmed,813_00041;1133_00035;628_00031;602_00020;188_00015;866_00015;973_00029,"Money, debt and credit",
7,"The Trojan war: Troy, Greeks and Hector",shared_narrative,included,"124 chunks, 33 works (8 with 3+), Troilus and Cressida 23 %, top three 54 %. One legend — the siege and fall of Troy, Aeneas — in Shakespeare, the Seneca translations, Marlowe's Dido and later imitators; keywords are names. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",user_confirmed,658_00007;49_00013;76_00014;409_00015;720_00061;1008_00032;244_00023,The Trojan war: conflict and its aftermath,"follow-up reading supports a coherent Trojan-war and aftermath domain across Troilus and Cressida, Troas, Agamemnon and Dido, including siege, wartime suffering, return and exile. Full chunks reviewed: 658_00007; 49_00013; 76_00014; 244_00023."
8,"Captains, gallants and cheats",thematic_discourse,included,"134 chunks, 44 works (18 with 3+), Puritan 8 %. Braggart captains, gallants, rogues and their tricks: money owed, tavern bills, bawds, conjuring for hire; Middleton, Chapman, Dekker, Jonson, Mayne. Cross-work theme.",user_confirmed,591_00031;695_00028;444_00018;1118_00032;422_00022;422_00019;1118_00012,"Captains, gallants and cheats","sample review supports a captain/gallant social domain, including evasion of payment, wealth-based friendship and quarrelling. Include broadly; fraud is a recurring possibility rather than a universal action. Reviewed excerpts (three different works): 1004_00031; 1049_00027; 444_00028."
9,"Theatre talk: prologues, poets and players",thematic_discourse,included,"132 chunks, 76 works, no work above 5 %. Plays about playing: prologues, inductions, epilogues, poets and their censurers, players and audiences (Jonson, Brome, Nashe, Rawlins, Glapthorne). Much of it is framing matter (prologue/epilogue) rather than plot; still comparable across works.",user_confirmed,422_00002;1140_00037;1172_00002;396_00000;1135_00027;533_00004;1144_00000,"Theatre talk: prologues, poets and players",
10,"England and France: war, embassy and peace",shared_narrative+thematic_discourse,included,"116 chunks, 25 works (12 with 3+), Edward III 15 %, top three 37 %. Anglo-French war and diplomacy: levies, ambassadors, treaties, the Dauphin, Talbot; Edward III, 1 Henry VI, King John, Henry V, Heywood's Edward IV, also Sampson's Vow Breaker. Historical matter shared by many plays, not one story; mostly histories, so the topic→genre direction is expected.",user_confirmed,271_00002;878_00028;876_00036;351_00003;1041_00030;371_00008;351_00002,"England and France: war, embassy and peace","sample review supports Anglo-French war and political relations, with crusading material at the boundary. Include as a historical subject domain, not a claim that every chunk describes direct war between England and France. Reviewed excerpts (three different works): 751_00016; 271_00022; 371_00001."
11,"Siblings, kin and confidants",thematic_discourse,included,"142 chunks, 78 works, no work above 6 %. What unites the chunks is kinship address — sister, brother, father, friend — in confidences, letters and family news rather than one subject. Cross-work by the numbers; when reading, decide whether this counts as a theme or only a register of address.",user_confirmed,732_00009;1111_00024;857_00022;964_00005;730_00009;1104_00000;993_00018,"Siblings, kin and confidants",
12,"The Olympian gods: Jupiter, Juno, Venus and Mars",thematic_discourse+recurring_role_or_name,included,"108 chunks, 44 works, Heywood's Golden Age 23 %, top three 38 %. The gods among themselves — Jupiter's rule, Juno's jealousy, Venus and Mars, Titans; Heywood's Ages, Peele, Jonson's Poetaster, pageants. The deities are shared mythological roles, not single-work names; T21 (Cupid, nymphs) is the love-side neighbour. Comparable, with the Golden Age share noted.",user_confirmed,687_00008;139_00003;238_00016;975_00004;824_00000;422_00031;719_00031,"Olympian gods: Jupiter, Juno, Venus and Mars",
13,"Knights, squires and ladies",thematic_discourse+recurring_role_or_name,pending,"109 chunks, 55 works, Knight of the Burning Pestle 11 %. Knights and squires — chivalric burlesque, knights as suitors, 'Sir' and 'Knight' as forms of address; Beaumont, Jonson, Heywood, Barry, Sharpham. Role words rather than names hold it together (Raph/George are the KBP burlesque); cross-work theme.",user_pending,724_00021;514_00033;365_00017;1071_00032;596_00015;683_00017;188_00004,,"sample review finds both social knighthood in courtship and romance adventure. The full peripheral Seven Champions chunk confirms a chivalric frame, but the shared substantive theme beyond rank remains uncertain. Keep pending. Reviewed excerpts (three different works): 606_00035; 672_00022; 1085_00019. Full-chunk follow-up: 1085_00019."
14,"Royal courts: princes, princesses and succession",thematic_discourse,included,"117 chunks, 55 works, Philaster 9 %. Kings' courts: princes and princesses, succession, royal marriage and disguise; Beaumont and Fletcher, Heywood, Suckling, Shirley. The royal counterpart of T0 (ducal court); cross-work theme.",user_confirmed,815_00003;503_00007;1120_00022;642_00025;1078_00010;808_00002;1125_00002,"Royal love, favour and dynastic relationships","sample review supports royal love, favour and dynastic relationships more directly than succession alone. Include with this revised label; crown transfer is a different emphasis from the sampled intimate and patronage relations. Reviewed excerpts (three different works): 1153_00033; 687_00025; 1125_00002."
