topic,draft_label,pattern_basis,use_in_genre_analysis,basis,review_status,chunks_read
0,Mortality and family relationships,thematic_discourse,candidate,"138 works; common nouns (death, life, father, son, heart); no work above 4 %",draft_ai,
1,"Money, credit and social status",thematic_discourse,candidate,"121 works; money, master, gentleman, pound, honest; no work above 6 %",draft_ai,
2,"Christian faith, sin and salvation",thematic_discourse,candidate,"44 works; god, christ, holy, sin, mercy, soul; moral/biblical plays prominent (topic->genre direction only)",draft_ai,
3,Classical deities and desire,thematic_discourse+recurring_role_or_name,candidate,"101 works; Venus, Cupid, Diana, Jove are mythological roles shared across works, not single-work names",draft_ai,
4,"Courts, rank and authority",thematic_discourse,candidate,"58 works; duke, duchess, court, honour, grace; Malcontent 16 %",draft_ai,
5,English dynastic conflict (York/Lancaster),shared_narrative,candidate,"21 works; Edward, Warwick, Richard, York, Henry, Clarence = shared historical matter; Richard III 28 %",draft_ai,
6,Marriage and household relations,thematic_discourse,candidate,"101 works; wife, husband, marriage, mistress; no work above 7 %",draft_ai,
7,"Italianate households: fathers, sons and suitors (shared names)",recurring_role_or_name+mixed_or_unclear,pending,"19 works; Antonio, Trincalo, Berinthia, Flavia from several plays; Albumazar 18 %; content unclear until read",draft_ai,
8,Roman politics and civil conflict (Caesar/Brutus),shared_narrative,candidate,"26 works; Caesar, Brutus, Cassius, Pompey, Rome; Julius Caesar 31 %",draft_ai,
9,"Physicians, quacks and cures: the consultation as transaction",thematic_discourse+recurring_role_or_name,candidate,"65 works; Alchemist 27 % (2 editions); read pack: doctor-consultation scenes with fee/imposture (Alchemist, Hollander, Maid's Revenge, Lingua) + Celestina as physician of love-sickness; illness itself secondary",checked_ai,702_00004;1148_00006;562_00029;952_00121;1111_00020;701_00015;378_00003
10,"Celestina narrative: procuress, lovers and servants",shared_narrative,contextual_only,"Spanish Bawd 80 %, 14 works; names Celestina, Melibea, Sempronio, Parmeno",draft_ai,
11,Trojan-war narratives,shared_narrative,candidate,"16 works; Troilus and Cressida 89, Troas 24, Agamemnon 17 chunks; Hector, Achilles, Troy shared matter (same standard as Hercules/Orestes)",draft_ai,
